a_party_number,b_party_number,start_time,end_time,duration_seconds,msisdn,imsi,imei,call_type,direction,tower_id,cell_id,lac,latitude,longitude,technology
9000000190,9123456789,2026-06-20 09:15:00,2026-06-20 09:19:12,252,9000000190,40419866162966,3562549800598,Voice,outgoing,TWR022,CELL_022A,4400,28.34832,76.935411,4G
9000000190,9333222111,2026-06-20 14:02:00,2026-06-20 14:02:00,0,9000000190,40419866162966,3562549800598,SMS,outgoing,TWR022,CELL_022A,4400,28.34832,76.935411,4G
9000000190,9444555666,2026-06-21 18:40:00,2026-06-21 18:46:30,390,9000000190,40419866162966,3562549800598,Voice,incoming,TWR022,CELL_022B,4400,28.34832,76.935411,4G
9871913964,9123456789,2026-06-20 10:05:00,2026-06-20 10:08:20,200,9871913964,404100433218196,614300032179487,Voice,outgoing,TOW_CELL2680,CELL_2680A,4401,13.160152,80.216399,4G
9871913964,9333222111,2026-06-21 11:30:00,2026-06-21 11:35:00,300,9871913964,404100433218196,614300032179487,Voice,incoming,TOW_CELL2680,CELL_2680A,4401,13.160152,80.216399,4G
9871913964,9444555666,2026-06-22 16:20:00,2026-06-22 16:20:00,0,9871913964,404100433218196,614300032179487,SMS,outgoing,TOW_CELL2680,CELL_2680B,4401,13.160152,80.216399,4G
9555000001,9333222111,2026-06-21 08:50:00,2026-06-21 08:53:40,220,9555000001,40999000001,3598784233468,Voice,outgoing,TWR027,CELL_027A,4402,17.300712,78.651753,4G
9555000001,9123456789,2026-06-22 13:10:00,2026-06-22 13:16:00,360,9555000001,40999000001,3598784233468,Voice,outgoing,TWR027,CELL_027A,4402,17.300712,78.651753,4G
9555000001,9444555666,2026-06-23 19:05:00,2026-06-23 19:05:00,0,9555000001,40999000001,3598784233468,SMS,incoming,TWR027,CELL_027C,4402,17.300712,78.651753,4G
9555000002,9123456789,2026-06-21 09:25:00,2026-06-21 09:29:10,250,9555000002,40999000002,390529069710945,Voice,incoming,TOW_CELL6490,CELL_6490A,4403,18.447533,73.824486,4G
9555000002,9333222111,2026-06-22 15:45:00,2026-06-22 15:51:30,390,9555000002,40999000002,390529069710945,Voice,outgoing,TOW_CELL6490,CELL_6490A,4403,18.447533,73.824486,4G
9555000002,9444555666,2026-06-23 20:15:00,2026-06-23 20:15:00,0,9555000002,40999000002,390529069710945,SMS,outgoing,TOW_CELL6490,CELL_6490B,4403,18.447533,73.824486,4G
9555000099,9123456789,2026-06-22 12:00:00,2026-06-22 12:03:00,180,9555000099,40999000099,356999000009909,Voice,outgoing,TWR022,CELL_022A,4400,28.34832,76.935411,4G
9555000099,9333222111,2026-06-23 17:30:00,2026-06-23 17:34:20,260,9555000099,40999000099,356999000009909,Voice,incoming,TWR022,CELL_022B,4400,28.34832,76.935411,4G
